"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"94","Justice","Hill","BAL",510,470,8,91.02,312.5,6.22692
"95","C.J.","Ham","MIN",528,466,8,127.54,379.67,12.15732
"96","Jermar","Jefferson","FA",250,536,8,121.75,NA,NA
"97","Ty","Johnson","FA",560,464,8,115,348.63,20.556249
"98","Ronald","Jones","DAL",371,494,8,86.54,300.86,9.56277
"99","Salvon","Ahmed","MIA",556,483,8,92.92,320.04,8.59908
"100","Brandon","Bolden","LVR",525,498,8,110.28,363.54,3.26172
"101","Zander","Horvath","FA",281,540,8,136.56,NA,NA
"102","J.J.","Taylor","FA",296,542,8,129.2,357,NA
"103","Gary","Brightwell","NYG",548,481,8,112.85,372.33,15.71556
"104","Patrick","Taylor","FA",298,543,8,122.89,328.67,NA
"105","Anthony","McFarland","PIT",553,484,8,109.52,341.14,16.056558
"106","Julius","Chestnut","TEN",552,492,8,108.16,349.92,12.15732
"107","Chris","Rodriguez","WAS",511,495,8,93.31,324.59,13.980918
"108","Ty","Montgomery","NEP",543,490,8,109.97,347.39,14.937195
"109","Alec","Ingold","MIA",562,501,9,121.94,357.8,14.092113
"110","Corey","Clement","FA",373,549,9,105.24,342.43,NA
"111","Kendre","Miller","NOS",456,544,9,54.08,157.48,5.055666
"112","Devon","Achane","MIA",452,545,9,46.31,128.97,4.37367
"113","Chris","Evans","CIN",563,513,9,82.69,285.01,8.050518
"114","Sony","Michel","FA",377,550,9,NA,NA,NA
"115","Isaiah","Spiller","LAC",515,537,9,73.16,250.62,8.67321
"116","Snoop","Conner","FA",391,551,9,129.91,NA,NA
"117","Spencer","Brown","FA",394,553,9,133,NA,NA
"118","Myles","Gaskin","MIN",558,538,9,97.61,332.07,9.155055
"119","Benny","Snell","FA",398,554,9,NA,NA,NA
"120","D'Ernest","Johnson","JAC",581,479,9,83.13,285.88,2.505594
"121","Tyrion","Davis-Price","SFO",566,539,9,87.35,306.14,9.585009
"122","Reggie","Gilliam","BUF",569,541,9,133,NA,9.533118
"123","Trestan","Ebner","FA",439,556,9,131.73,NA,NA
"124","Deuce","Vaughn","DAL",502,548,9,71.85,240.54,4.766559
"125","Larry","Rountree","FA",449,557,9,NA,NA,NA
