"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"86","Jalen","Coker","CAR",310,325,17,75.84,208.34,13.424943
"87","Josh","Reynolds","NYJ",292,347,17,101.49,282.92,5.1891
"88","Noah","Brown","WAS",318,352,17,104.97,289.58,3.7065
"89","Demarcus","Robinson","SFO",424,300,17,110.59,304.95,30.83808
"90","Dyami","Brown","JAC",319,349,17,89.06,248.52,1.18608000000001
"91","Ray-Ray","McCloud","ATL",500,315,17,100.54,279.43,12.112842
"92","Greg","Dortch","ARI",360,363,17,124.69,346.39,8.1543
"93","Jordan","Whittington","LAR",306,395,18,108.8,302.47,NA
"94","Brandon","Johnson","PIT",322,420,18,186.75,NA,NA
"95","Pat","Bryant","DEN",329,424,18,83.75,230.32,NA
"96","Jalen","McMillan","TBB",410,396,18,78.33,206.18,1.33434
"97","Dont'e","Thornton","LVR",334,427,18,85.17,232.5,NA
"98","Odell","Beckham","FA",337,431,18,NA,NA,NA
"99","Allen","Lazard","NYJ",427,342,18,115.89,319.4,14.662914
"100","Marquez","Valdes-Scantling","SEA",527,335,18,111.24,309.62,23.05443
"101","Elic","Ayomanor","TEN",345,439,18,85.53,235.38,NA
"102","K.J.","Osborn","WAS",349,440,18,158.22,346.67,0.630105000000001
"103","Kalif","Raymond","DET",480,356,18,142.55,343,31.045644
"104","Roman","Wilson","PIT",389,437,18,90.38,252.09,5.908161
"105","Jaylin","Noel","HOU",357,454,19,83.42,230.02,NA
"106","Anthony","Miller","BAL",367,459,19,NA,NA,NA
"107","Elijah","Moore","BUF",486,366,19,98.05,274.17,29.459262
"108","Olamide","Zaccheaus","CHI",519,336,19,118.41,313.09,41.764842
"109","Kayshon","Boutte","NEP",606,368,19,95.01,265.35,13.980918
"110","Jalin","Hyatt","NYG",487,375,19,135.62,358.27,28.02114
"111","KaVontae","Turpin","DAL",418,444,19,99.56,277.31,8.784405
"112","Mike","Williams","FA",393,473,19,NA,NA,NA
"113","Adonai","Mitchell","IND",544,419,19,80.79,223.71,1.601208
"114","Kendrick","Bourne","NEP",473,418,19,138.17,366.25,20.104056
"115","A.T.","Perry","DEN",464,425,19,177.75,NA,18.124785
