"","pos","name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"74","QB","Lamar Jackson","BAL",46,33,3,4.58,38.82,36.798132
"75","QB","Justin Fields","CHI",64,40,3,5.94,45.98,32.7061559999999
"76","RB","Joe Mixon","CIN",44,31,3,11.81,28.11,24.4629
"77","RB","Jonathan Taylor","IND",4,117,3,24.88,63.66,2.07564000000001
"78","RB","Kenneth Walker III","SEA",51,20,3,15.9,39.95,76.50216
"79","RB","Rhamondre Stevenson","NEP",55,34,3,12.41,30.14,37.95456
"80","RB","J.K. Dobbins","BAL",62,19,3,18.03,46.03,84.35994
"81","RB","Aaron Jones","GBP",48,45,3,15.58,39.05,16.3086
"82","RB","Travis Etienne","JAC",57,39,3,12.66,30.86,38.99238
"83","RB","James Conner","ARI",52,44,3,22.95,59.46,30.09678
"84","RB","Dameon Pierce","HOU",60,56,3,18.18,46.39,5.9304
"85","RB","Najee Harris","PIT",71,24,3,12.46,30.08,81.0982200000001
"86","RB","Alexander Mattison","MIN",58,65,3,19.66,50.58,5.48562000000007
"87","RB","Miles Sanders","CAR",74,30,3,18.31,46.73,72.7956600000001
"88","WR","Keenan Allen","LAC",91,66,3,20.97,46.67,34.69284
"89","WR","George Pickens","PIT",110,82,3,33.51,74.9,9.6369
"90","TE","Mark Andrews","BAL",49,23,3,2.16,35.64,38.84412
"91","WR","Terry McLaurin","WAS",96,68,3,25.11,55.87,36.02718
"92","WR","Tyler Lockett","SEA",92,67,3,27.69,61.33,41.66106
"93","DST","Philadelphia Eagles","PHI",103,103,3,3.3,173.74,27.13158
"94","WR","Brandon Aiyuk","SFO",119,76,3,24.17,53.8,31.8759
"95","WR","Jahan Dotson","WAS",112,94,3,30.66,68.69,7.85778
"96","WR","Mike Williams","LAC",103,71,3,25.98,58.37,37.21326
"97","WR","Drake London","ATL",115,95,3,26.65,59.28,12.89862
"98","DST","Kansas City Chiefs","KCC",122,141,3,10.78,208.65,4.74432
"99","WR","Jerry Jeudy","DEN",174,103,3,32.62,73.31,13.04688
"100","WR","Brandin Cooks","DAL",117,108,3,40.57,92.1,21.4977
"101","WR","Chris Godwin","TBB",125,96,3,31.73,70.67,40.47498
"102","WR","Nico Collins","HOU",182,78,3,52.03,121.8,60.34182
"103","K","Nick Folk","TEN",242,214,3,18.24,254.04,33.0871842
"104","WR","Michael Thomas","NOS",151,153,3,49.92,116.25,7.11648000000002
"105","WR","Marquise Brown","ARI",159,155,3,35.08,78.54,6.22691999999998
"106","WR","Courtland Sutton","DEN",155,106,3,39.96,90.44,43.7367
"107","WR","Diontae Johnson","PIT",149,140,3,30.92,69.52,14.0847
"108","WR","Jameson Williams","DET",13,229,3,58.45,138.03,8.96973
"109","WR","Kadarius Toney","KCC",220,111,3,50.1,116.38,36.3237
"110","K","Brandon Aubrey","DAL",276,126,3,22.26,292.03,109.5510128125
"111","WR","D.J. Chark","CAR",200,87,3,60.46,144.52,69.53394
"112","K","Chad Ryland","NEP",293,131,3,25.78,310.12,108.955778297872
"113","K","Jake Moody","SFO",299,174,3,15.84,264.66,101.545384270073
"114","K","Anders Carlson","GBP",317,221,3,27.23,310.08,89.0108562
"115","QB","Justin Herbert","LAC",65,58,4,6.25,47.2,11.060196
"116","QB","Kirk Cousins","MIN",86,75,4,13.09,100.32,21.319788
"117","QB","Deshaun Watson","CLE",83,49,4,10.94,87.98,60.49008
"118","QB","Daniel Jones","NYG",104,73,4,11.58,92.36,44.507652
"119","RB","Breece Hall","NYJ",103,35,4,18.86,47.95,67.31004
"120","RB","Cam Akers","LAR",77,37,4,19.09,49.05,87.17688
"121","RB","David Montgomery","DET",94,55,4,25.31,65.2,49.81536
"122","RB","Brian Robinson","WAS",100,52,4,31.79,83.38,59.15574
"123","RB","Khalil Herbert","CHI",148,51,4,30.18,79.09,66.27222
"124","RB","Isiah Pacheco","KCC",82,70,4,26.76,69.82,41.5128
"125","RB","D'Andre Swift","PHI",143,59,4,31.2,82.31,56.78358
"126","RB","Javonte Williams","DEN",113,46,4,26.22,68.21,86.43558
"127","RB","James Cook","BUF",106,85,4,25.25,65.95,29.80026
"128","RB","Dalvin Cook","NYJ",118,64,4,28.93,75.5,60.0453
"129","RB","Bijan Robinson","ATL",88,28,4,4.05,8.02,135.502227
"130","RB","AJ Dillon","GBP",137,83,4,33.76,89.23,43.88496
"131","RB","Rachaad White","TBB",109,99,4,26.46,68.61,47.88798
"132","DST","Jacksonville Jaguars","JAC",114,156,4,16.9,256.12,1.63085999999997
"133","RB","Leonard Fournette","FA*",12,251,4,70.49,233.06,NA
"134","RB","Jahmyr Gibbs","DET",211,48,4,15.02,37.67,125.657763
"135","TE","Juwan Johnson","NOS",19,50,4,16.87,161.63,18.82902
"136","TE","Darren Waller","NYG",53,57,4,4.35,69.76,14.826
"137","TE","Dallas Goedert","PHI",80,63,4,6.27,89.61,6.37518
"138","WR","Odell Beckham","BAL",194,121,4,53.83,126.71,34.24806
"139","WR","Jakobi Meyers","LVR",190,125,4,52.71,122.63,37.95456
"140","WR","Michael Pittman","IND",184,98,4,36.64,82.59,65.82744
"141","WR","Allen Lazard","NYJ",189,163,4,53.61,124.91,18.206328
"142","WR","Romeo Doubs","GBP",213,166,4,59.1,141.61,19.71858
"143","WR","JuJu Smith-Schuster","NEP",201,115,4,51.19,119.27,54.544854
"144","WR","Josh Palmer","LAC",16,255,4,NA,NA,3.96595500000001
"145","WR","Tyler Boyd","CIN",217,198,4,59.72,142.23,8.45082
"146","WR","DeVante Parker","NEP",219,169,4,74.86,190.55,33.50676
"147","WR","Marquez Valdes-Scantling","KCC",235,129,4,71.04,179.14,58.85922
"148","WR","Zay Jones","JAC",225,175,4,62.72,151.35,33.06198
"149","WR","Rashod Bateman","BAL",249,204,4,47.44,109.53,5.63388
"150","WR","Donovan Peoples-Jones","CLE",246,191,4,66.43,162.2,18.97728
"151","WR","K.J. Osborn","MIN",255,173,4,69.39,172.57,35.87892
"152","WR","Adam Thielen","CAR",231,212,4,62.36,149.32,6.96821999999998
"153","WR","Curtis Samuel","WAS",228,192,4,71.44,179.92,25.05594
"154","WR","Skyy Moore","KCC",224,206,4,48.17,113.52,16.60512
"155","WR","Darnell Mooney","CHI",226,224,4,58.73,138.29,4.59605999999999
"156","WR","Van Jefferson","LAR",259,182,4,67.58,167.38,48.03624
"157","WR","Elijah Moore","CLE",251,232,4,44.69,102.24,2.07563999999999
"158","WR","Rondale Moore","ARI",239,226,4,68.45,168.47,8.59908000000002
"159","WR","Wan'Dale Robinson","NYG",289,222,4,85.86,221.78,18.97728
"160","WR","Hunter Renfrow","LVR",258,247,4,79.86,205,4.240236
"161","WR","Parris Campbell","NYG",277,243,4,80.54,206.68,6.96821999999998
"162","WR","Jaxon Smith-Njigba","SEA",340,137,4,41.71,94.12,87.32514
"163","WR","Treylon Burks","TEN",254,216,4,42.49,96.69,36.91674
"164","WR","Isaiah Hodgins","NYG",273,235,4,73.36,186.22,16.16034
"165","K","Blake Grupe","NOS",332,275,4,23.84,300.57,74.9027798630137
"166","K","Rodrigo Blankenship","FA",396,590,4,27.9,303.97,NA
"167","K","Zane Gonzalez","SFO",593,592,4,33.4,342.2,NA
"168","QB","Geno Smith","SEA",87,84,5,13.41,103.09,32.1724200000001
"169","QB","Trevor Lawrence","JAC",103,109,5,7.99,60.82,21.79422
"170","QB","Dak Prescott","DAL",101,119,5,11.71,92.19,12.572448
"171","QB","Tua Tagovailoa","MIA",108,133,5,12.29,96.11,1.897728
"172","QB","Jared Goff","DET",152,100,5,16.47,129.88,38.5179479999999
"173","DST","Indianapolis Colts","IND",133,149,5,19.86,265.63,5.1891
"174","RB","Jamaal Williams","NOS",128,112,5,38.01,102.14,41.95758
"175","DST","San Francisco 49ers","SFO",123,154,5,1.79,160.67,15.12252
"176","RB","Ezekiel Elliott","NEP",245,86,5,47.59,131.28,75.90912
"177","RB","Antonio Gibson","WAS",175,160,5,35.78,95.83,24.31464
"178","RB","Raheem Mostert","MIA",177,103,5,43.27,117.29,67.01352
"179","DST","Buffalo Bills","BUF",140,173,5,4.84,177.04,6.96821999999998
"180","RB","Tyler Allgeier","ATL",223,168,5,43.85,120.16,34.69284
"181","RB","Rashaad Penny","PHI",253,165,5,39.99,108.3,39.2889
"182","RB","Elijah Mitchell","SFO",230,208,5,43.2,117.54,2.52042
"183","RB","Samaje Perine","DEN",164,205,5,38.45,103.46,15.41904
"184","RB","Damien Harris","BUF",260,197,5,43.17,117.36,21.20118
"185","RB","D'Onta Foreman","CHI",241,190,5,52.51,150.68,32.91372
"186","TE","Kyle Pitts","ATL",93,79,5,5.96,88.03,1.33433999999999
"187","TE","T.J. Hockenson","MIN",78,72,5,3.95,63.16,17.7912
"188","RB","Jeffery Wilson","MIA",15,308,5,NA,NA,0.0741299999999852
"189","TE","David Njoku","CLE",126,90,5,10.03,120.52,8.59908
"190","TE","Irv Smith Jr.","CIN",14,177,5,NA,NA,0.7413
"191","TE","Evan Engram","JAC",90,103,5,9.55,117.12,0.741299999999979
"192","TE","Pat Freiermuth","PIT",131,102,5,9.02,111.82,5.1891
"193","TE","Dalton Schultz","HOU",136,91,5,13.71,141.55,25.35246
"194","TE","Cole Kmet","CHI",147,104,5,15.54,151.28,10.52646
"195","WR","Darius Slayton","NYG",277,215,5,76.12,193.76,44.967258
"196","WR","Jordan Addison","MIN",271,187,5,37.55,83.87,74.241195
"197","WR","Marvin Jones","DET",265,266,5,94.44,251.91,2.9652
"198","WR","Zay Flowers","BAL",282,199,5,41.92,95.1,71.446494
"199","WR","Michael Gallup","DAL",264,270,5,61.62,148.84,6.81996000000001
"200","WR","Richie James","KCC",335,252,5,94.71,251.88,20.7564
"201","WR","Robert Woods","HOU",284,274,5,85.31,221.63,9.93341999999998
"202","WR","Mecole Hardman","NYJ",290,258,5,82.54,213.34,22.9803
"203","WR","Alec Pierce","IND",288,262,5,69.95,174.28,24.90768
"204","WR","Nick Westbrook-Ikhine","TEN",318,287,5,109.31,297.27,8.1543
"205","WR","Allen Robinson","PIT",302,303,5,86.49,224.48,0.148260000000002
"206","WR","Josh Reynolds","DET",323,238,5,95.28,254.66,62.209896
"207","WR","Ben Skowronek","LAR",330,301,5,124.42,334.98,5.9304
"208","WR","Greg Dortch","ARI",345,290,5,109.27,299.29,25.79724
"209","WR","Tyquan Thornton","NEP",343,294,5,89.84,236.52,23.42508
"210","WR","Olamide Zaccheaus","PHI",380,309,5,124.89,334.68,23.12856
"211","WR","Quentin Johnston","LAC",344,282,5,49.41,113.61,51.29796
"212","WR","Mack Hollins","ATL",339,285,5,94.76,252.43,50.045163
"213","WR","Kendall Hinton","FA",20,383,5,169.88,NA,NA
"214","WR","Tutu Atwell","LAR",370,297,5,102.92,274.17,42.2541
"215","QB","Russell Wilson","DEN",139,124,6,17.88,141.41,42.5209680000001
"216","QB","Aaron Rodgers","NYJ",215,103,6,15.3,119.81,79.823184
"217","QB","Derek Carr","NOS",195,210,6,20.74,160.01,13.284096
"218","QB","Kenny Pickett","PIT",237,207,6,20.98,163.3,23.009952
"219","QB","Brock Purdy","SFO",240,213,6,22.85,179.85,22.505868
"220","DST","Detroit Lions","DET",162,152,6,23.24,303.92,22.68378
"221","DST","Green Bay Packers","GBP",116,179,6,16.66,245.25,10.52646
"222","DST","Seattle Seahawks","SEA",142,144,6,19.76,285.58,34.0998
"223","RB","Kenneth Gainwell","PHI",270,181,6,48.08,133.33,53.96664
"224","RB","Jerick McKinnon","KCC",286,142,6,48.14,131.93,93.99684
"225","RB","Devin Singletary","HOU",297,189,6,51.47,144.49,64.64136
"226","RB","Chuba Hubbard","CAR",274,220,6,55.99,164.47,37.8063
"227","TE","Greg Dulcich","DEN",129,110,6,16.5,159.52,1.03782
"228","RB","Clyde Edwards-Helaire","KCC",327,268,6,60.34,185.99,8.30255999999999
"229","RB","Jaylen Warren","PIT",287,249,6,45.21,124.12,34.54458
"230","RB","Gus Edwards","BAL",301,261,6,55.65,164.52,24.61116
"231","TE","Gerald Everett","LAC",160,118,6,18.48,169.22,13.63992
"232","TE","Chigoziem Okonkwo","TEN",145,136,6,12.97,137.99,0.444779999999996
"233","RB","Cordarrelle Patterson","ATL",312,269,6,63.97,204.57,20.60814
"234","RB","Jerome Ford","CLE",329,296,6,58.99,180.4,2.37215999999999
"235","RB","Zach Charbonnet","SEA",331,244,6,39.27,106.12,72.336054
"236","RB","Justin Jackson","FA",17,381,6,NA,NA,NA
"237","RB","Chase Edmonds","TBB",338,298,6,70.1,235.22,25.50072
"238","RB","Tyjae Spears","TEN",383,246,6,59.56,183.16,73.774176
"239","WR","Trey Palmer","TBB",384,293,6,110.54,295.13,49.763469
"240","WR","Jalen Guyton","LAC",23,391,6,155.18,317.33,NA
"241","WR","Chase Claypool","CHI",348,302,6,79.75,205.33,45.66408
"242","WR","Marquise Goodwin","CLE",411,300,6,142.39,360.3,46.55364
"243","WR","Devin Duvernay","BAL",442,295,6,107.77,292.11,49.978446
"244","WR","Shi Smith","FA",26,399,6,166.83,NA,NA
"245","WR","Rashid Shaheed","NOS",356,312,6,67.99,168.79,43.299333
"246","WR","Kalif Raymond","DET",386,316,6,118.07,316.41,43.603266
"247","WR","Kendrick Bourne","NEP",341,321,6,96.66,258.43,40.430502
"248","WR","Rashee Rice","KCC",363,323,6,75.83,193.91,40.84563
"249","WR","Khalil Shakir","BUF",405,320,6,97.57,260.25,42.55062
"250","WR","Dyami Brown","WAS",458,271,6,124.26,336.11,31.935204
"251","WR","Sterling Shepard","NYG",443,272,6,98.98,262.75,26.61267
"252","WR","Terrace Marshall","CAR",407,329,6,91.31,240.62,39.644724
"253","WR","Trent Sherfield","BUF",434,333,6,120.15,321.17,39.518703
"254","WR","Jauan Jennings","SFO",430,340,6,115.59,316.04,38.043516
"255","WR","Isaiah McKenzie","IND",400,346,6,106.48,287.28,35.938224
"256","WR","Jayden Reed","GBP",342,362,6,74.23,187.49,30.630516
"257","WR","Noah Brown","HOU",433,364,6,117.22,324.93,32.32068
"258","WR","Braxton Berrios","MIA",436,374,6,106.64,289.57,29.748369
"259","WR","Trenton Irwin","CIN",448,372,6,132.65,355.44,30.749124
"260","WR","Chris Moore","TEN",444,375,6,127.05,336,29.711304
"261","WR","Laviska Shenault","CAR",435,379,6,104.1,282.03,28.325073
"262","WR","D'Wayne Eskridge","SEA",79,434,6,NA,NA,NA
"263","WR","Jonathan Mingo","CAR",361,392,6,68.4,171.3,23.625231
"264","WR","Chosen Anderson","FA",84,435,6,NA,NA,NA
"265","WR","Tre'Quan Smith","NOS",464,380,6,145.51,373.91,29.792847
"266","WR","Jamal Agnew","JAC",446,386,6,127.58,332.83,27.465165
"267","WR","Equanimeous St. Brown","CHI",461,382,6,152.75,347.2,29.051547
"268","WR","Keelan Cole","FA",97,437,6,216.67,NA,NA
"269","WR","Phillip Dorsett","FA",105,441,6,199.56,NA,NA
"270","WR","Randall Cobb","NYJ",437,397,6,111.67,299.75,24.818724
"271","WR","Demarcus Robinson","LAR",451,396,6,133.74,359.75,25.545198
"272","WR","Amari Rodgers","FA",134,445,6,193.88,NA,NA
"273","WR","KhaDarel Hodge","ATL",455,415,6,145.91,343,23.514036
"274","WR","Laquon Treadwell","FA",163,446,6,193.4,NA,NA
"275","WR","Marquez Callaway","FA",409,423,6,133.84,338.77,18.510261
"276","WR","Quez Watkins","PHI",454,420,6,106.03,286.83,21.045507
"277","WR","Velus Jones","CHI",469,417,6,139.45,357.5,22.38726
"278","WR","Nathaniel Dell","HOU",180,450,6,NA,NA,NA
"279","QB","Kyler Murray","ARI",2,384,7,27.71,228.66,8.77699199999998
"280","QB","Jordan Love","GBP",268,218,7,22.15,167.54,42.076188
"281","QB","Baker Mayfield","TBB",262,277,7,30.93,285.26,5.515272
"282","QB","Sam Howell","WAS",263,250,7,24.53,194.95,31.4311200000001
"283","QB","Jimmy Garoppolo","LVR",279,233,7,27.71,232.24,48.362412
"284","DST","Cleveland Browns","CLE",161,128,7,14.37,231.16,43.29192
"285","TE","Tyler Higbee","LAR",169,130,7,15.83,154.71,22.83204
"286","TE","Jake Ferguson","DAL",204,171,7,25.24,225.25,0.296520000000004
"287","TE","Dawson Knox","BUF",218,105,7,24.5,223.96,52.78056
"288","TE","Hunter Henry","NEP",196,139,7,23.63,218.08,26.24202
"289","TE","Zach Ertz","ARI",212,145,7,30.34,267.75,27.4281
"290","TE","Noah Fant","SEA",202,184,7,28.2,256.34,7.26474000000001
"291","RB","Latavius Murray","BUF",353,326,7,76.93,267.61,6.96822
"292","TE","Tyler Conklin","NYJ",210,186,7,31.61,276.15,10.52646
"293","RB","Zack Moss","IND",320,332,7,68.77,228.64,12.75036
"294","RB","Zamir White","LVR",412,264,7,60.15,185.62,68.362686
"295","RB","Ty Chandler","MIN",381,291,7,66.4,213.86,50.26014
"296","TE","Mike Gesicki","NEP",232,167,7,25.97,234.77,29.94852
"297","RB","Joshua Kelley","LAC",362,341,7,62.48,198.2,20.0151
"298","RB","James Robinson","FA",18,422,7,89.26,302.89,NA
"299","RB","Keaontay Ingram","ARI",366,369,7,74.44,252.22,6.37518
"300","RB","Deon Jackson","IND",349,289,7,73.51,243.08,42.298578
"301","RB","Rico Dowdle","DAL",460,231,7,78.92,259.4,31.683162
"302","RB","Tank Bigsby","JAC",390,330,7,47.68,133.48,50.400987
"303","RB","JaMycal Hasty","JAC",440,363,7,85.02,302.04,26.24202
"304","RB","Trayveon Williams","CIN",438,345,7,88.83,308.28,40.17846
"305","RB","Jordan Mason","SFO",468,334,7,84.65,298.3,49.37058
"306","RB","Kenyan Drake","FA",25,432,7,99.9,337.83,NA
"307","RB","Kyren Williams","LAR",420,370,7,68.67,228.94,32.32068
"308","RB","Malik Davis","FA",28,443,7,88.49,298.26,NA
"309","RB","Matt Breida","NYG",441,395,7,79.78,280.76,22.38726
"310","RB","Caleb Huntley","FA",36,449,7,128.75,NA,NA
"311","WR","Deven Thompkins","TBB",453,424,7,141.24,327.86,19.399821
"312","WR","Cedrick Wilson","MIA",450,425,7,129.52,333.44,17.813439
"313","WR","Marvin Mims","DEN",395,427,7,68.45,170.14,14.344155
"314","WR","Damiere Byrd","FA",222,457,7,NA,NA,NA
"315","WR","Steven Sims","FA",243,458,7,187,NA,NA
"316","WR","Scotty Miller","ATL",247,459,7,NA,NA,NA
"317","WR","Zach Pascal","ARI",459,436,7,140,361.36,14.45535
"318","WR","David Bell","CLE",479,429,7,114.93,303.66,16.293774
"319","WR","Nelson Agholor","BAL",487,430,7,114.66,313.6,16.390143
"320","WR","Cody Hollister","TEN",272,462,7,199.2,NA,NA
"321","WR","Ray-Ray McCloud","SFO",493,433,7,163.06,335.5,16.271535
"322","WR","David Sills","NYG",275,463,7,180.5,NA,NA
"323","WR","James Proche","FA",283,467,7,212.5,NA,NA
"324","WR","DeAndre Carter","LVR",485,438,7,144.25,353.57,15.003912
"325","WR","River Cracraft","MIA",484,440,7,161.2,296,14.685153
"326","WR","Jalen Reagor","FA",501,439,7,174.63,316,15.211476
"327","WR","Greg Ward","FA",306,471,7,199,NA,NA
"328","WR","Cam Sims","FA",316,473,7,208.33,NA,NA
"329","WR","Trinity Benson","FA",316,473,7,NA,NA,NA
"330","WR","NA NA",NA,316,473,7,NA,NA,NA
"331","WR","Byron Pringle","WAS",494,447,7,174.71,NA,12.461253
"332","WR","Justin Watson","KCC",473,452,7,125.79,340.5,10.830393
"333","WR","Dontayvion Wicks","GBP",472,453,7,148.36,361.88,10.185462
"334","WR","Andre Baccellia","FA",333,474,7,171.25,NA,NA
"335","WR","Kyle Philips","TEN",491,455,7,114.82,311.12,10.533873
"336","WR","Jalen Nailor","MIN",497,454,7,138.55,342.4,10.74885
"337","WR","Jalen Tolbert","DAL",499,456,7,122.2,330.87,10.74885
"338","WR","Brandon Johnson","DEN",471,460,7,136,366,8.1543
"339","WR","Deonte Harty","BUF",465,469,7,105.13,281.12,6.412245
"340","WR","Chris Conley","FA",365,480,7,183.8,NA,NA
"341","WR","Justin Shorter","BUF",509,461,7,152.41,358.2,8.784405
"342","WR","Samori Toure","GBP",500,465,7,135.81,358.38,8.176539
"343","WR","Josh Downs","IND",462,472,7,86.64,226.35,5.441142
"344","WR","Mike Strachan","FA",427,491,7,189.83,NA,NA
"345","WR","Brandon Powell","MIN",496,475,7,164.59,284,5.344773
"346","WR","Chase Cota","FA",445,496,7,NA,NA,NA
"347","WR","Cody Thompson","SEA",505,476,7,209.86,NA,4.833276
"348","WR","Charlie Jones","CIN",508,477,7,141.87,356.82,4.803624
"349","WR","Dax Milne","WAS",518,478,7,178.29,NA,4.885167
"350","WR","Calvin Austin III","PIT",498,488,7,121.21,323.3,3.587892
"351","WR","Gunner Olszewski","PIT",516,485,7,182.58,NA,4.277301
"352","WR","Keith Kirkwood","NOS",514,486,7,186,NA,4.099389
"353","WR","Grant Dubose","FA",457,502,7,NA,NA,NA
"354","WR","Tylan Wallace","BAL",533,489,7,181.4,352.5,3.92889
"355","WR","Malik Heath","GBP",512,493,7,167.5,NA,2.9652
"356","WR","David Moore","FA",466,507,7,161.5,308,NA
"357","WR","Rakim Jarrett","TBB",480,503,7,161.18,355.4,1.022994
"358","WR","Lil'Jordan Humphrey","FA",475,505,7,181.33,NA,0.563388
"359","WR","Jalin Hyatt","NYG",470,508,7,80.88,205.52,NA
"360","WR","John Metchie","HOU",513,500,7,82.34,212.51,2.394399
"361","WR","Antoine Green","DET",523,499,7,193.25,372,2.683506
"362","WR","Michael Woods","CLE",535,497,7,204.5,NA,3.017091
"363","WR","Michael Wilson","ARI",495,506,7,94.53,245.64,1.060059
"364","WR","Demario Douglas","NEP",476,509,7,120,318.32,NA
"365","WR","Puka Nacua","LAR",477,510,7,95.18,247.5,NA
"366","WR","Jalen Virgil","DEN",478,511,7,NA,NA,NA
"367","WR","Cedric Tillman","CLE",482,516,7,102.2,271.53,NA
"368","WR","Danny Gray","SFO",534,504,7,157.46,356,2.068227
"369","WR","Justyn Ross","KCC",492,520,7,95.82,248.81,NA
"370","WR","KaVontae Turpin","DAL",526,512,7,173.7,NA,1.082298
