"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"91","Geoff","Swaim","ARI",382,361,11,95.27,NA,5.9304
"92","John","FitzPatrick","ATL",397,356,11,97.5,NA,10.244766
"93","Charlie","Kolar","BAL",393,349,11,78,362.5,6.716178
"94","Giovanni","Ricci","CAR",401,359,11,91.9,NA,9.332967
"95","Pharaoh","Brown","FA",280,376,11,104.6,NA,NA
"96","Jeremy","Ruckert","NYJ",408,343,11,62.06,354,4.121628
"97","Chris","Manhertz","DEN",399,354,11,85,NA,5.752488
"98","Stephen","Sullivan","CAR",416,335,11,107.25,NA,1.452948
"99","Dan","Arnold","FA",295,378,11,87.83,NA,NA
"100","Quintin","Morris","BUF",406,358,11,80.23,NA,5.85627
"101","Charlie","Woerner","SFO",404,365,12,97.8,NA,7.976388
"102","Lawrence","Cager","NYG",414,355,12,145.5,359.5,0.44478
"103","Jesper","Horsted","LVR",431,351,12,89.6,NA,0.29652
"104","Hunter","Long","LAR",376,377,12,70.35,NA,3.721326
"105","Brenton","Strange","JAC",379,385,12,61.53,373.5,2.290617
"106","Sean","McKeon","FA",347,388,12,116.8,NA,NA
"107","Tyree","Jackson","FA",350,389,12,117.5,NA,NA
"108","Josh","Whyle","TEN",403,387,12,75.33,NA,2.505594
"109","Eric","Saubert","MIA",375,393,12,94.86,NA,NA
"110","Ben","Ellefson","FA",378,394,12,NA,NA,NA
"111","David","Wells","TBB",422,390,12,90.8,NA,1.882902
"112","Kenny","Yeboah","NYJ",402,401,12,98,NA,NA
"113","Grant","Calcaterra","PHI",423,398,12,75.5,368,0.733887
"114","Andrew","Beck","HOU",410,402,12,103.8,NA,NA
"115","Kaden","Smith","WAS",414,403,12,NA,NA,NA
"116","Davis","Allen","LAR",415,404,12,106,NA,NA
"117","Payne","Durham","TBB",417,405,12,81.79,348,NA
"118","Mason","Schreck","FA",417,405,12,117,NA,NA
"119","Tyler","Davis","GBP",418,406,12,NA,NA,NA
"120","Cole","Turner","WAS",419,407,12,44.04,318.65,NA
"121","Tyler","Kroft","MIA",421,408,12,59.6,355,NA
"122","Armani","Rogers","WAS",421,408,12,98.6,NA,NA
"123","Stone","Smartt","LAC",426,409,12,94.6,NA,0.07413
"124","Jody","Fortson","KCC",424,411,12,79.67,NA,NA
"125","Brayden","Willis","SFO",424,411,12,106.6,NA,NA
"126","Shane","Zylstra","DET",425,412,12,92.6,NA,NA
"127","Zack","Kuntz","FA",428,413,12,80.89,NA,NA
"128","Tommy","Sweeney","NYG",428,413,12,103,NA,NA
"129","Reggie","Gilliam","BUF",428,413,12,133,NA,NA
"130","Jared","Pinkney","FA",428,413,12,NA,NA,NA
"131","Jake","Tonges","FA",428,413,12,NA,NA,NA
"132","Will","Mallory","IND",432,410,12,85.2,NA,0.140847
"133","Feleipe","Franks","ATL",429,414,12,67.8,NA,NA
